,"HC FeMn"
14-Apr,"1,329"
14-May,"1,327"
14-Jun,"1,330"
14-Jul,"1,336"
14-Aug,"1,340"
14-Sep,"1,330"
14-Oct,"1,323"
14-Nov,"1,293"
14-Dec,"1,326"
15-Jan,"1,276"
15-Feb,"1,260"
15-Mar,"1,247"
15-Apr,"1,235"
15-May,"1,214"
15-Jun,"1,173"
15-Jul,"1,140"
15-Aug,"1,022"
15-Sep,982
15-Oct,933
15-Nov,871
15-Dec,827
16-Jan,"1,098"
16-Feb,800
16-Mar,834
16-Apr,"1,046"
16-May,"1,124"
16-Jun,"1,119"
16-Jul,"1,061"
16-Aug,"1,036"
16-Sep,"1,267"
16-Oct,"1,309"
16-Nov,"1,586"
16-Dec,"1,745"
17-Jan,"1,758"
17-Feb,"1,682"
17-Mar,"1,482"
17-Apr,"1,295"
17-May,"1,391"
17-Jun,"1,363"
17-Jul,"1,383"
17-Aug,"1,368"
17-Sep,"1,451"
17-Oct,"1,532"
17-Nov,"1,542"
17-Dec,"1,431"
18-Jan,"1,396"
18-Feb,"1,765"
18-Mar,"1,772"
18-Apr,"1,769"
18-May,"1,770"
18-Jun,"1,664"
18-Jul,"1,596"
18-Aug,"1,638"
18-Sep,"1,582"
18-Oct,"1,613"
18-Nov,"1,598"
18-Dec,"1,593"
19-Jan,"1,605"
