,Mn44
Jun-06,2.30
Jul-06,2.30
Aug-06,2.35
Sep-06,2.40
Oct-06,2.40
Nov-06,2.45
Dec-06,2.50
Jan-07,2.50
Feb-07,2.60
Mar-07,2.80
Apr-07,3.40
May-07,4.20
Jun-07,6.60
Jul-07,6.60
Aug-07,6.50
Sep-07,6.85
Oct-07,7.80
Nov-07,8.25
Dec-07,9.88
Jan-08,10.50
Feb-08,12.50
Mar-08,15.00
Apr-08,16.00
May-08,17.00
Jun-08,17.50
Jul-08,18.40
Aug-08,17.80
Sep-08,16.20
Oct-08,15.80
Nov-08,8.90
Dec-08,7.00
Jan-09,6.00
Feb-09,5.50
Mar-09,5.00
Apr-09,4.50
May-09,3.50
Jun-09,3.50
Jul-09,5.00
Aug-09,5.50
Sep-09,6.00
Oct-09,6.30
Nov-09,6.50
Dec-09,6.50
Jan-10,7.50
Feb-10,7.65
Mar-10,7.65
Apr-10,8.00
May-10,8.40
Jun-10,8.20
Jul-10,7.60
Aug-10,7.10
Sep-10,6.75
Oct-10,6.60
Nov-10,6.25
Dec-10,6.30
Jan-11,6.30
Feb-11,6.00
Mar-11,6.00
Apr-11,5.30
May-11,5.30
Jun-11,5.35
Jul-11,5.35
Aug-11,5.35
Sep-11,5.35
Oct-11,5.35
Nov-11,5.25
Dec-11,4.60
Jan-12,4.60
Feb-12,4.60
Mar-12,4.60
Apr-12,4.85
May-12,5.00
Jun-12,5.15
Jul-12,5.15
Aug-12,5.15
Sep-12,5.00
Oct-12,5.00
Nov-12,5.00
Dec-12,5.00
Jan-13,5.25
Feb-13,5.45
Mar-13,5.65
Apr-13,5.70
May-13,5.70
Jun-13,5.70
Jul-13,5.55
Aug-13,5.25
Sep-13,5.15
Oct-13,5.25
Nov-13,5.25
Dec-13,5.25
Jan-14,5.25
Feb-14,5.20
Mar-14,4.80
Apr-14,4.60
May-14,4.35
Jun-14,4.35
Jul-14,4.35
Aug-14,4.35
Sep-14,4.36
Oct-14,4.38
Nov-14,4.38
Dec-14,4.35
Jan-15,4.20
Feb-15,3.75
Mar-15,3.55
Apr-15,3.25
May-15,3.04
Jun-15,3.00
Jul-15,3.04
Aug-15,3.04
Sep-15,2.98
Oct-15,2.78
