Date,iron,HC FeMn,Mn44
4/1/14,114.58,1329,4.6
5/1/14,100.56,1327,4.35
6/1/14,92.74,1330,4.35
7/1/14,96.05,1336,4.35
8/1/14,92.61,1340,4.35
9/1/14,82.38,1330,4.36
10/1/14,81.06,1323,4.38
11/1/14,73.73,1293,4.38
12/1/14,68.39,1326,4.35
1/1/15,68.23,1276,4.2
2/1/15,62.75,1260,3.75
3/1/15,58.05,1247,3.55
4/1/15,52.28,1235,3.25
5/1/15,60.3,1214,3.04
6/1/15,62.63,1173,3
7/1/15,52.39,1140,3.04
8/1/15,56.19,1022,3.04
9/1/15,56.95,982,2.98
10/1/15,53.12,933,2.78
11/1/15,46.86,871,2.45
12/1/15,40.5,827,2.21
1/1/16,41.88,1098,1.85
2/1/16,46.83,800,1.83
3/1/16,56.2,834,2.53
4/1/16,60.92,1046,3.82
5/1/16,55.13,1124,3.83
6/1/16,51.98,1119,3.58
7/1/16,57.26,1061,2.81
8/1/16,60.89,1036,3.59
9/1/16,57.79,1267,4.48
10/1/16,59.09,1309,6.24
11/1/16,73.1,1586,8.22
12/1/16,80.02,1745,8.83
1/1/17,80.41,1758,7.88
2/1/17,89.44,1682,5.36
3/1/17,87.65,1482,4.12
4/1/17,70.22,1295,5.07
5/1/17,62.43,1391,5.62
6/1/17,57.48,1363,6.06
7/1/17,67.74,1383,6.04
8/1/17,76.07,1368,6.13
9/1/17,71.53,1451,6.23
10/1/17,61.66,1532,6.45
11/1/17,64.24,1542,6.37
12/1/17,72.25,1431,6.28
1/1/18,76.34,1396,6.77
2/1/18,77.46,1765,7.26
3/1/18,70.35,1772,8.18
4/1/18,65.75,1769,8.1
5/1/18,66.1,1770,7.24
6/1/18,65.04,1664,6.56
7/1/18,64.56,1596,6.75
8/1/18,67.15,1638,6.73
9/1/18,68.44,1582,7.01
10/1/18,73.41,1613,7.01
11/1/18,73.26,1598,7.18
12/1/18,69.15,1593,7.18
