iron,HC FeMn,Mn44,SiMn
114.58,1329,4.6,1319
100.56,1327,4.35,1317
92.74,1330,4.35,1315
96.05,1336,4.35,1322
92.61,1340,4.35,1303.877009
82.38,1330,4.36,1290.673531
81.06,1323,4.38,1273.893595
73.73,1293,4.38,1244.258139
68.39,1326,4.35,1298.212784
68.23,1276,4.2,1227.78208
62.75,1260,3.75,1211.571641
58.05,1247,3.55,1189.192145
52.28,1235,3.25,1176.986992
60.3,1214,3.04,1156.417615
62.63,1173,3,1134.158361
52.39,1140,3.04,1120.77927
56.19,1022,3.04,1079.459643
56.95,982,2.98,1022.145808
53.12,933,2.78,989.6479631
46.86,871,2.45,932.5778539
40.5,827,2.21,873.2584287
41.88,1098,1.85,1092.831484
46.83,800,1.83,913.8602306
56.2,834,2.53,975.6133611
60.92,1046,3.82,1113.65123
55.13,1124,3.83,1117.483177
51.98,1119,3.58,1052.526975
57.26,1061,2.81,982.6196884
60.89,1036,3.59,1074.594139
57.79,1267,4.48,1288.090163
59.09,1309,6.24,1265.334123
73.1,1586,8.22,1463.711613
80.02,1745,8.83,1536.157709
80.41,1758,7.88,1570.80482
89.44,1682,5.36,1426.704862
87.65,1482,4.12,1228.106799
70.22,1295,5.07,1219.299082
62.43,1391,5.62,1277.645323
57.48,1363,6.06,1289.816862
67.74,1383,6.04,1329.012595
76.07,1368,6.13,1327.47408
71.53,1451,6.23,1421.779207
61.66,1532,6.45,1489.436509
64.24,1542,6.37,1430.046128
72.25,1431,6.28,1351.399894
76.34,1396,6.77,1692.866986
77.46,1765,7.26,1685.375151
70.35,1772,8.18,1680.382166
65.75,1769,8.1,1665.509609
66.1,1770,7.24,1622.512003
65.04,1664,6.56,1520.697492
64.56,1596,6.75,1520.879166
67.15,1638,6.73,1558.516308
68.44,1582,7.01,1602.982145
73.41,1613,7.01,1649.390109
73.26,1598,7.18,1621.061665
69.15,1593,7.18,1624.270612
